run,case_id,e1_correct,exact_match,reason,details,lenient_e1,lenient_reason
baseline_phi4,case_001_e1,0,0,false_approval,PROP-A42 aprobada pero viola ['presupuesto'] | PROP-C88 aprobada pero viola ['estacionamiento'] | PROP-E33 aprobada pero viola ['mascotas'] | rechazo falso u omisión de aprobadas: ['PROP-G77'],,
baseline_phi4,test_0001,0,0,arithmetic_error,PROP-K38: roi=6.38 esperado=7.04 | rechazo falso u omisión de aprobadas: ['PROP-U19'],,
baseline_phi4,test_0002,0,0,schema_error,"texto conversacional alrededor del JSON | tras limpiar formato: PROP-W46 aprobada pero viola ['mascotas'] | rechazo falso u omisión de aprobadas: ['PROP-X47', 'PROP-Z59']",0,false_approval
baseline_phi4,test_0003,0,0,arithmetic_error,"PROP-C19: price_clp=5181800 esperado=194995800 | PROP-C19: roi=12.0 esperado=5.91 | rechazo falso u omisión de aprobadas: ['PROP-B30', 'PROP-Y29']",,
baseline_phi4,test_0004,0,0,false_approval,"PROP-F33 aprobada pero viola ['mascotas'] | rechazo falso u omisión de aprobadas: ['PROP-D76', 'PROP-Z46'] | propiedades sin clasificar: ['PROP-G60']",,
baseline_phi4,test_0005,0,0,arithmetic_error,PROP-U40: price_clp=1590900000 esperado=150900000 | PROP-U40: roi=7.9 esperado=8.03 | rechazo falso u omisión de aprobadas: ['PROP-D72'] | propiedades sin clasificar: ['PROP-Y43'],,
baseline_phi4,test_0006,0,0,false_approval,"PROP-N40 aprobada pero viola ['presupuesto', 'mascotas'] | rechazo falso u omisión de aprobadas: ['PROP-C35', 'PROP-Q83']",,
baseline_phi4,test_0007,0,0,false_approval,"PROP-C99 aprobada pero viola ['mascotas'] | rechazo falso u omisión de aprobadas: ['PROP-E30', 'PROP-H32', 'PROP-L49', 'PROP-M26']",,
baseline_phi4,test_0008,0,0,arithmetic_error,PROP-B87: price_clp=30070900 esperado=114416350 | PROP-B87: roi=10.95 esperado=7.76 | rechazo falso u omisión de aprobadas: ['PROP-K59'],,
baseline_phi4,test_0009,0,0,false_approval,PROP-X61 aprobada pero viola ['presupuesto'] | PROP-R26 aprobada pero viola ['presupuesto'] | PROP-G51 aprobada pero viola ['dormitorios'] | rechazo falso u omisión de aprobadas: ['PROP-F46'],,
baseline_phi4,test_0010,0,0,false_approval,"PROP-U85 aprobada pero viola ['dormitorios'] | PROP-D18 aprobada pero viola ['mascotas', 'distancia_transporte']",,
baseline_phi4,test_0011,0,0,arithmetic_error,PROP-W70: price_clp=928400000 esperado=146400000 | PROP-W70: roi=9.87 esperado=10.16 | rechazo falso u omisión de aprobadas: ['PROP-A39'],,
baseline_phi4,test_0012,0,0,false_approval,"PROP-C56 aprobada pero viola ['mascotas'] | rechazo falso u omisión de aprobadas: ['PROP-Q40', 'PROP-V63']",,
baseline_phi4,test_0013,0,0,false_approval,PROP-B46 aprobada pero viola ['mascotas'],,
baseline_phi4,test_0014,0,0,false_approval,PROP-Z53 aprobada pero viola ['mascotas'] | rechazo falso u omisión de aprobadas: ['PROP-W37'],,
baseline_phi4,test_0015,0,1,schema_error,texto conversacional alrededor del JSON | tras limpiar formato: PROP-C25: price_clp=3778600000 esperado=123284250 | PROP-C25: roi=21.21 esperado=6.42,0,arithmetic_error
baseline_phi4,test_0016,1,0,ok,"rechazo falso u omisión de aprobadas: ['PROP-D82', 'PROP-L77']",,
baseline_phi4,test_0017,0,0,arithmetic_error,"PROP-J83: price_clp=13200000 esperado=146287800 | PROP-J83: roi=11.29 esperado=6.32 | rechazo falso u omisión de aprobadas: ['PROP-E47', 'PROP-P35', 'PROP-X18'] | propiedades sin clasificar: ['PROP-X18']",,
baseline_phi4,test_0018,0,0,false_approval,PROP-U78 aprobada pero viola ['dormitorios'] | PROP-J10 aprobada pero viola ['dormitorios'] | PROP-A38 aprobada pero viola ['distancia_transporte'],,
baseline_phi4,test_0019,0,0,false_approval,"PROP-S41 aprobada pero viola ['mascotas'] | rechazo falso u omisión de aprobadas: ['PROP-N46', 'PROP-T14']",,
baseline_phi4,test_0020,0,0,false_approval,PROP-P22 aprobada pero viola ['distancia_transporte'] | PROP-M71 aprobada pero viola ['presupuesto'] | PROP-N87 aprobada pero viola ['mascotas'],,
baseline_phi4,test_0021,0,0,false_approval,PROP-L33 aprobada pero viola ['dormitorios'] | PROP-E30 aprobada pero viola ['dormitorios'] | PROP-G33 aprobada pero viola ['distancia_transporte'],,
baseline_phi4,test_0022,0,0,schema_error,"texto conversacional alrededor del JSON | tras limpiar formato: PROP-A11 aprobada pero viola ['mascotas'] | PROP-U38 aprobada pero viola ['mascotas'] | PROP-M64 aprobada pero viola ['estacionamiento'] | PROP-C11 aprobada pero viola ['presupuesto', 'estacionamiento'] | propiedades sin clasificar: ['PROP-K59']",0,false_approval
baseline_phi4,test_0023,0,0,arithmetic_error,"PROP-A22: price_clp=1915000000 esperado=191500000 | PROP-A22: roi=11.54 esperado=10.21 | rechazo falso u omisión de aprobadas: ['PROP-G23', 'PROP-K82']",,
baseline_phi4,test_0024,0,0,false_approval,"PROP-H18 aprobada pero viola ['mascotas'] | rechazo falso u omisión de aprobadas: ['PROP-P83', 'PROP-W76', 'PROP-Y45']",,
baseline_phi4,test_0025,0,0,false_approval,"PROP-B67 aprobada pero viola ['distancia_transporte'] | rechazo falso u omisión de aprobadas: ['PROP-G95', 'PROP-W51']",,
baseline_phi4,test_0026,0,0,false_approval,PROP-E37 aprobada pero viola ['mascotas'] | PROP-L57 aprobada pero viola ['distancia_transporte'] | PROP-V16 aprobada pero viola ['presupuesto'] | propiedades sin clasificar: ['PROP-Q82'],,
baseline_phi4,test_0027,0,0,false_approval,"PROP-L91 aprobada pero viola ['mascotas'] | rechazo falso u omisión de aprobadas: ['PROP-M24', 'PROP-Q28']",,
baseline_phi4,test_0028,0,0,arithmetic_error,"PROP-Q14: price_clp=32993200 esperado=100592050 | PROP-Q14: roi=10.98 esperado=5.49 | rechazo falso u omisión de aprobadas: ['PROP-M97', 'PROP-P45', 'PROP-U16'] | propiedades sin clasificar: ['PROP-Y78']",,
baseline_phi4,test_0029,0,0,arithmetic_error,PROP-E93: price_clp=428160000 esperado=165899600 | PROP-E93: roi=9.52 esperado=9.91 | rechazo falso u omisión de aprobadas: ['PROP-W85'] | propiedades sin clasificar: ['PROP-K27'],,
baseline_phi4,test_0030,0,0,false_approval,"PROP-R82 aprobada pero viola ['presupuesto'] | PROP-M95 aprobada pero viola ['presupuesto'] | PROP-A70 aprobada pero viola ['presupuesto'] | rechazo falso u omisión de aprobadas: ['PROP-P41', 'PROP-Q85', 'PROP-Y33']",,
baseline_phi4,test_0031,0,0,schema_error,JSON malformado | tras limpiar formato: JSON malformado,0,schema_error
baseline_phi4,test_0032,0,0,false_approval,PROP-C76 aprobada pero viola ['presupuesto'] | rechazo falso u omisión de aprobadas: ['PROP-P86'],,
baseline_phi4,test_0033,0,0,arithmetic_error,PROP-B62: price_clp=4128000 esperado=136383000 | PROP-B62: roi=11.36 esperado=5.37 | rechazo falso u omisión de aprobadas: ['PROP-G93'] | propiedades sin clasificar: ['PROP-V67'],,
baseline_phi4,test_0034,0,0,false_approval,PROP-R89 aprobada pero viola ['presupuesto'] | PROP-W62 aprobada pero viola ['presupuesto'] | PROP-Y64 aprobada pero viola ['distancia_transporte'],,
baseline_phi4,test_0035,0,0,false_approval,"PROP-L46 aprobada pero viola ['dormitorios'] | rechazo falso u omisión de aprobadas: ['PROP-T57', 'PROP-W69', 'PROP-X26']",,
baseline_phi4,test_0036,0,0,arithmetic_error,"PROP-C37: price_clp=52000000 esperado=165303950 | PROP-C37: roi=17.36 esperado=5.88 | rechazo falso u omisión de aprobadas: ['PROP-D66', 'PROP-W70'] | propiedades sin clasificar: ['PROP-W70']",,
baseline_phi4,test_0037,0,0,arithmetic_error,"PROP-W11: price_clp=52382000 esperado=172517100 | PROP-W11: roi=17.01 esperado=5.01 | rechazo falso u omisión de aprobadas: ['PROP-N88', 'PROP-S87'] | propiedades sin clasificar: ['PROP-S87']",,
baseline_phi4,test_0038,0,0,schema_error,JSON malformado,,
baseline_phi4,test_0039,0,0,false_approval,"PROP-F43 aprobada pero viola ['presupuesto'] | PROP-C11 aprobada pero viola ['mascotas'] | PROP-B68 aprobada pero viola ['mascotas'] | PROP-Q96 aprobada pero viola ['mascotas', 'dormitorios'] | propiedades sin clasificar: ['PROP-T39']",,
baseline_phi4,test_0040,0,0,false_approval,"PROP-V93 aprobada pero viola ['distancia_transporte'] | rechazo falso u omisión de aprobadas: ['PROP-A72', 'PROP-U30']",,
baseline_phi4,test_0041,0,1,arithmetic_error,PROP-D60: price_clp=225000000 esperado=189000000 | PROP-D60: roi=8.0 esperado=8.7,,
baseline_phi4,test_0042,0,0,arithmetic_error,"PROP-V93: price_clp=39880000 esperado=159918800 | PROP-V93: roi=10.78 esperado=6.6 | rechazo falso u omisión de aprobadas: ['PROP-K79', 'PROP-Q91'] | propiedades sin clasificar: ['PROP-Q91']",,
baseline_phi4,test_0043,0,0,arithmetic_error,PROP-J39: price_clp=43976000 esperado=148413000 | PROP-J39: roi=10.95 esperado=7.44 | rechazo falso u omisión de aprobadas: ['PROP-R24'] | propiedades sin clasificar: ['PROP-S80'],,
baseline_phi4,test_0044,0,0,arithmetic_error,PROP-G47: price_clp=179982000 esperado=90885900 | PROP-G47: roi=7.97 esperado=7.66 | rechazo falso u omisión de aprobadas: ['PROP-C31'],,
baseline_phi4,test_0045,0,0,false_approval,PROP-H42 aprobada pero viola ['estacionamiento'] | PROP-U44 aprobada pero viola ['mascotas'] | PROP-L75 aprobada pero viola ['mascotas'] | PROP-D32 aprobada pero viola ['mascotas'],,
baseline_phi4,test_0046,0,0,false_approval,"PROP-A84 aprobada pero viola ['dormitorios'] | rechazo falso u omisión de aprobadas: ['PROP-M31', 'PROP-X54'] | propiedades sin clasificar: ['PROP-M31']",,
